add-s,2,80,320,344730,1077,0
add-yield-s,4,80,640,748761,1169,0
add-s,4,80,640,388119,606,0
add-yield-s,8,80,1280,1604827,1253,0
add-s,8,80,1280,1262934,986,0
add-yield-s,12,80,1920,2694439,1403,0
add-s,12,80,1920,579154,301,0
add-yield-s,1,100,200,375753,1878,0
add-s,1,100,200,295550,1477,0
add-yield-s,2,100,400,489862,1224,0
add-s,2,100,400,315296,788,0
add-yield-s,4,100,800,909823,1137,0
add-s,4,100,800,376703,470,0
add-yield-s,8,100,1600,2197096,1373,0
add-s,8,100,1600,1310256,818,0
add-yield-s,12,100,2400,3474057,1447,0
add-s,12,100,2400,1369908,570,0
add-yield-s,1,1000,2000,1485437,742,0
add-s,1,1000,2000,316463,158,0
add-yield-s,2,1000,4000,2792458,698,0
add-s,2,1000,4000,316557,79,0
add-yield-s,4,1000,8000,7718850,964,0
add-s,4,1000,8000,551878,68,0
add-yield-s,8,1000,16000,20788105,1299,0
add-s,8,1000,16000,2858383,178,0
add-yield-s,12,1000,24000,36570228,1523,0
add-s,12,1000,24000,7173312,298,0
